artist,slope_per_year,r_squared,p_value,n_songs,n_years_active,first_year,last_year,start_pct,end_pct,total_change
Dok2 (도끼),-0.002298611111111113,0.0037048482825047463,0.8968594902131108,11,7,2012,2024,0.28350000000000003,0.11,-0.17350000000000004
DreamNote (드림노트),-0.03401707650273224,0.31056360946254613,0.1937128373050802,24,7,2018,2025,0.34299999999999997,0.199,-0.14399999999999996
Dreamcatcher (드림캐쳐),0.04857973494744491,0.5121518944656842,0.013271829546754587,90,11,2014,2025,0.164,1.0,0.836
Dynamic Duo (다이나믹듀오),0.031695069033530573,0.28583477138601776,0.09018654499883556,20,11,2013,2026,0.143,0.718,0.575
ELRIS (엘리스),-0.010753218884120173,0.20629830925066342,0.3655493169218465,21,6,2017,2024,0.167,0.118,-0.049000000000000016
ENHYPEN (엔하이픈),-0.0045320833333333315,0.019152936721587233,0.8243552274317358,61,5,2020,2024,0.4917777777777778,0.49761111111111117,0.005833333333333357
EPEX (이펙스),0.009976456876456869,0.09422298056162873,0.6153967614908551,46,5,2021,2025,0.3631666666666667,0.344,-0.01916666666666672
EVERGLOW (에버글로우),0.08925079365079365,0.8201108674991205,0.09440027191969602,26,4,2019,2023,0.27316666666666667,0.6785,0.4053333333333333
EVNNE (이븐),0.009661111111111103,0.23313948221823605,0.5171548051204857,23,4,2023,2026,0.48833333333333334,0.5205,0.03216666666666662
EXID (이엑스아이디),-0.0026139039531896677,0.0071483749952606585,0.783610348959584,55,13,2012,2024,0.43142857142857144,0.305,-0.12642857142857145
EXO (엑소),0.014624667005604008,0.5909976922778083,0.0021337659003446328,220,13,2011,2025,0.063,0.25,0.187
EXO-K,0.028099999999999993,0.14519616642903174,0.5268475976790873,20,5,2012,2016,0.1895,0.414,0.22449999999999998
Elsie (엘시)/Eunjung(은정),0.0057347492625368715,0.033638134809059,0.6637458524107449,13,8,2012,2026,0.133,0.091,-0.04200000000000001
Epik High (에픽하이),0.030530509259259268,0.3376409878085266,0.10082480337564757,23,9,2012,2024,0.2703333333333333,0.718,0.44766666666666666
Eric Nam (에릭남),0.07642944444444444,0.778887215964216,0.001627091721361603,29,9,2012,2020,0.119,0.7660666666666667,0.6470666666666667
