artist,slope_per_year,r_squared,p_value,n_songs,n_years_active,first_year,last_year,start_pct,end_pct,total_change
Bang Yedam (방예담),-0.0016071428571428586,0.00042098983204152317,0.9794819632508,13,4,2020,2025,0.19,0.05,-0.14
Beenzino (빈지노),0.02686607142857142,0.35303423921257426,0.15948894897648033,16,7,2014,2023,0.33,0.45999999999999996,0.12999999999999995
Berry Good (베리굿),-0.008364873519052192,0.029520560696019656,0.635053682870445,17,10,2014,2025,0.301,0.139,-0.16199999999999998
Billlie (빌리),-0.0625,0.37213917777370925,0.5823130565138565,27,3,2021,2023,0.49866666666666665,0.37366666666666665,-0.125
Block B (블락비),-0.0018392408220271332,0.006422201542817476,0.7946730722082641,60,13,2011,2025,0.2835,0.289,0.005500000000000005
BoA (보아),-0.012081619047619051,0.0977765552018884,0.2763762241149155,94,14,2011,2024,0.496,0.201,-0.295
Brave Girls (브레이브걸스),-0.003542630385487527,0.01973430412194372,0.7400469769232161,25,8,2012,2022,0.4573333333333333,0.369,-0.08833333333333332
Brown Eyed Girls (브라운아이드걸스),0.01783031862745098,0.1670537610948908,0.11598714052570826,68,16,2010,2025,0.142,1.0,0.858
Busters (버스터즈),0.0018947368421052659,0.0006283103156654858,0.9574598021085741,10,7,2013,2021,0.531,0.505,-0.026000000000000023
C-Clown (씨클라운),-0.01208298611111111,0.5254279567828714,0.06533008029159597,17,7,2012,2024,0.29833333333333334,0.122,-0.17633333333333334
C-REAL (씨리얼),0.01883712121212121,0.654757422371999,0.19082917602523575,12,4,2011,2024,0.327,0.498,0.17099999999999999
CIX (씨아이엑스),-0.004194872835497834,0.019813788624421947,0.7633962627578041,56,7,2019,2025,0.4389090909090909,0.4554444444444445,0.01653535353535357
CL (씨엘),-0.0095,0.047988335528794716,0.6369667500587812,23,7,2013,2023,0.2795,0.381,0.10149999999999998
CLC (씨엘씨),0.04749926757812499,0.4102646019929962,0.033738966778078874,48,11,2011,2024,0.421,1.0,0.579
CNBLUE (씨엔블루/シーエヌブルー),-0.029845707656612538,0.48473713429511195,0.025317170518530715,33,10,2010,2023,0.639,0.124,-0.515
CO-ED SCHOOL (남녀공학),-0.007812979646312978,0.11919012770503025,0.40227361140716017,22,8,2010,2021,0.066,0.0,-0.066
CRAVITY (크래비티),-0.00011889923985788509,1.399325121692687e-05,0.9929861489926569,88,8,2018,2026,0.662,0.615,-0.04700000000000004
CROSS GENE (크로스 진),-0.005984134936539744,0.0172234564889944,0.7364514526833652,12,9,2011,2022,0.205,0.362,0.157
Cheetah (치타),0.02174702380952381,0.22193492441293444,0.2386783874604248,11,8,2014,2021,0.192,0.257,0.065
Cherry Bullet (체리블렛),0.059669999999999994,0.9064637873141109,0.012499985251499146,22,5,2019,2023,0.252,0.46579999999999994,0.21379999999999993
Chungha (청하),0.04434964588557875,0.40203575561016225,0.036165072048671705,70,11,2012,2025,0.16033333333333336,0.801,0.6406666666666667
Chuu (츄),0.018460294117647057,0.12953490651882793,0.3414028339442062,38,9,2017,2026,0.406,0.417,0.010999999999999954
Cosmic Girls (WJSN/우주소녀),0.03756979784464997,0.6935191299188176,0.005324302748602551,84,9,2012,2022,0.068,0.42699999999999994,0.35899999999999993
Crush (크러쉬),0.00200485836627141,0.0014173821871295642,0.9075251591059084,36,12,2011,2024,0.538,0.518,-0.020000000000000018
D-Crunch (디크런치),0.05904761904761905,0.5386867474711567,0.26604717626324437,18,4,2020,2025,0.39975,0.615,0.21525
D-Unit (디유닛),0.007319367588932804,0.09777716035712357,0.6084531119813457,18,5,2012,2024,0.4878,0.583,0.09519999999999995
DAY6 (데이식스),0.0049995443941054886,0.10353657032853424,0.26191562898340803,148,14,2011,2026,0.107,0.195,0.08800000000000001
DEAN/DΞΔN (딘),0.044569095477386925,0.8253620210959145,0.004628547612960154,13,7,2011,2024,0.0,0.623,0.623
DIA (다이아),-0.0038823333333333336,0.038538685868366604,0.6126971042351554,56,9,2012,2024,0.0495,0.04,-0.009500000000000001
DKB (다크비),-0.009936666666666667,0.39761605612753975,0.36943195757512437,10,4,2013,2022,0.379,0.239,-0.14
DKZ/DONGKIZ (동키즈),-0.14400000000000002,0.9566658382922769,0.13350053859884423,14,3,2020,2022,0.50775,0.21975,-0.28800000000000003
DRIPPIN (드리핀),0.08595858585858586,0.8283051486432378,0.011756454538427259,45,6,2019,2024,0.142,0.498,0.356
Dal Shabet/Dalshabet/Dal★Shabet (달샤벳),-0.019544736842105264,0.3536986541184194,0.11993073718361343,37,8,2011,2022,0.578,0.25,-0.32799999999999996
Dalmatian (DMTN/달마시안),-0.02955000000000001,0.04958183897162842,0.7773302019320347,11,4,2010,2013,0.269,0.165,-0.10400000000000001
Davichi (다비치),0.01838122749502875,0.20413544478097123,0.3683953156101105,34,6,2011,2023,0.0,0.0,0.0
Dok2 (도끼),-0.003770833333333333,0.010389800630947826,0.8278551621277707,11,7,2012,2024,0.3155,0.12,-0.1955
DreamNote (드림노트),-0.04045160031225606,0.4240506265759428,0.11312051172146653,24,7,2018,2025,0.441,0.214,-0.227
Dreamcatcher (드림캐쳐),0.047777653671439255,0.5262406779859468,0.011516804228187117,90,11,2014,2025,0.167,1.0,0.833
Dynamic Duo (다이나믹듀오),0.031519625246548326,0.2829400980486212,0.09214546124420729,20,11,2013,2026,0.14733333333333334,0.719,0.5716666666666667
ELRIS (엘리스),-0.01265573267933783,0.22762752859807947,0.33864601651013454,21,6,2017,2024,0.18385714285714286,0.118,-0.06585714285714286
ENHYPEN (엔하이픈),-0.0028786111111111013,0.011987757821586356,0.8608737888639979,61,5,2020,2024,0.5132222222222222,0.5166666666666667,0.003444444444444472
EPEX (이펙스),0.011453752913752897,0.11592400255041921,0.5750200058692184,46,5,2021,2025,0.38083333333333336,0.36469999999999997,-0.01613333333333339
EVERGLOW (에버글로우),0.09518571428571426,0.8362650183652895,0.08552473058847042,26,4,2019,2023,0.28750000000000003,0.718,0.43049999999999994
EVNNE (이븐),0.005838888888888916,0.08742601226226769,0.704321099396207,23,4,2023,2026,0.5051666666666667,0.528,0.022833333333333372
EXID (이엑스아이디),-0.004427700870558016,0.019067020499200286,0.6528062887790187,55,13,2012,2024,0.45528571428571435,0.317,-0.13828571428571435
EXO (엑소),0.014350961817126164,0.5185171884904887,0.00550700421585752,220,13,2011,2025,0.063,0.25,0.187
EXO-K,0.02744,0.14213164503710163,0.5316107873874529,20,5,2012,2016,0.19929999999999998,0.422,0.2227
Elsie (엘시)/Eunjung(은정),0.005590678466076697,0.02981865992609882,0.6826023036422145,13,8,2012,2026,0.133,0.091,-0.04200000000000001
Epik High (에픽하이),0.030421111111111118,0.33603356363708875,0.10183515379405883,23,9,2012,2024,0.27299999999999996,0.718,0.445
Eric Nam (에릭남),0.07678722222222223,0.8341073757689974,0.0005801038162450757,29,9,2012,2020,0.119,0.7679333333333334,0.6489333333333334
FAVORITE (페이버릿),-0.009977580372250425,0.09860391636108559,0.6068580370784833,12,5,2012,2024,0.30900000000000005,0.214,-0.09500000000000006
FIESTAR (피에스타),-0.021311639344262296,0.3831476228693822,0.1900983275178146,19,6,2012,2021,0.42025,0.133,-0.28725
G.NA (지나),0.06492896174863388,0.8128657200322793,0.014050079395961321,16,6,2011,2020,0.0,0.6545,0.6545
GFRIEND (여자친구),0.004764932679634845,0.028317647491185163,0.6011199995166994,93,12,2013,2026,0.255,0.115,-0.14
GHOST9 (고스트나인),0.034649999999999986,0.3206822271229506,0.6167579102318356,19,3,2020,2022,0.31520000000000004,0.3845,0.06929999999999997
GOT7 (갓세븐),0.008795439141015013,0.08077294047666721,0.346665900639615,155,13,2012,2025,0.40116666666666667,0.454,0.05283333333333334
